本文,歌人,歌集,年代,雑誌
上高地溫泉,島木赤彦,馬鈴薯の花,1910,アララギ
森深く鳥鳴きやみてたそがるる木の間の水のほの明りかも,島木赤彦,馬鈴薯の花,1910,アララギ
久方の朝あけの底に白雲の靑嶺の眠り未だこもれり,島木赤彦,馬鈴薯の花,1910,アララギ
一人ゐるいでゆの日かず山に馴れし思ひのするもさびしくありけり,島木赤彦,馬鈴薯の花,1910,アララギ
花原の道はきはまる森の中の靜けさ思へば鴨鳴くきこゆ,島木赤彦,馬鈴薯の花,1910,アララギ
客居,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
げんげ田に寢ころぶしつつ行く雲のとほちの人を思ひたのしむ,島木赤彦,馬鈴薯の花,1910,アララギ
妻子らを遠くおき來ていとまある心さびしく花ふみあそぶ,島木赤彦,馬鈴薯の花,1910,アララギ
げんげんの花原めぐるいくすぢの水遠くあふ夕映も見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
夕日さすげんげの色にかへるべき野の家思へばさびしくありけり,島木赤彦,馬鈴薯の花,1910,アララギ
ゆふされば母が乳房をふくみ寢ぬる幼な心地に花にこもれり,島木赤彦,馬鈴薯の花,1910,アララギ
物思へば思ひはてなき胸のものをおほにおぼろに花にやすらふ,島木赤彦,馬鈴薯の花,1910,アララギ
明治四十三年,島木赤彦,馬鈴薯の花,1910,アララギ
廣丘村,島木赤彦,馬鈴薯の花,1910,アララギ
草枯の野のへにみつる晝すぎの光の下に動くものもなし,島木赤彦,馬鈴薯の花,1910,アララギ
冬枯の野に向く窓や夕ぐれの寒さ早かり日は照しつつ,島木赤彦,馬鈴薯の花,1910,アララギ
幹立ち,島木赤彦,馬鈴薯の花,1910,アララギ
冬の木の白き莖立ほのぼのし夕日ののちの野にみだれ見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
冬野吹く風をはげしみ戸をとぢてタ灯をともす妻遠く在り,島木赤彦,馬鈴薯の花,1910,アララギ
ところどころ野のくぼたみにたたへたる雪解のにごり靜かなるかも,島木赤彦,馬鈴薯の花,1910,アララギ
はるさめの筑摩桑原灰いろに草枯山の遠薄くあり,島木赤彦,馬鈴薯の花,1910,アララギ
草の中の家あちこちと夕ともす灯のひかり雨に濕れて見ゆ,島木赤彦,馬鈴薯の花,1910,アララギ
雨あがる深蒼原にひとしきり暮れの名殘の明るみにけり,島木赤彦,馬鈴薯の花,1910,アララギ
いささかの丘にかくろふ天の川のうすほの明りその丘の草,島木赤彦,馬鈴薯の花,1910,アララギ
かかる國に生れし民ら起き出でて花野の川に水を汲むかも,島木赤彦,馬鈴薯の花,1910,アララギ
いとつよき日ざしに照らふ丹の頰を草の深みにあひ見つるかな,島木赤彦,馬鈴薯の花,1910,アララギ
草の日のいきれの中にわぎもこの丈けはかくろふわが腕のへに,島木赤彦,馬鈴薯の花,1910,アララギ
夏草のいよよ深きにつつましき心かなしくきはまりにけり,島木赤彦,馬鈴薯の花,1910,アララギ
さ夜ふかき霧の奧べに照らふもの月の下びに水かあるらし,島木赤彦,馬鈴薯の花,1910,アララギ
霧明りかくおぼろなる土の上にとほく別るる人やあるらん,島木赤彦,馬鈴薯の花,1910,アララギ
この朝け障子ばりする緣先きの石のはだへへにさ霧ふりつつ,島木赤彦,馬鈴薯の花,1910,アララギ
湖のあふれ未だ引きゃらぬ稻原の夜のいろ深し稻光りする,島木赤彦,馬鈴薯の花,1910,アララギ
露霜をしげみ寒けみ富士見野の龍膽の花紺ならんとす,島木赤彦,馬鈴薯の花,1910,アララギ
とりいれのをはりの豆を打ちをへて筵をたたむ日暮の夫婦,島木赤彦,馬鈴薯の花,1910,アララギ
この山の紅葉に來つつ家の人と夜々の炬煙にしたしみにけり,島木赤彦,馬鈴薯の花,1910,アララギ
小夜ふかく炬燵にゐつつ庭つづき原なることをさびしみにけり,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
明治四十四年,島木赤彦,馬鈴薯の花,1910,アララギ
草枯の國のくぼみにかたまれる沼のいくつに日あたりにけり,島木赤彦,馬鈴薯の花,1910,アララギ
廣丘村,島木赤彦,馬鈴薯の花,1910,アララギ
いささかの心動きに冬がれの林の村を去らんと思ひし,島木赤彦,馬鈴薯の花,1910,アララギ
この朝け霧おぼろなる木の影に日のけはひして鳥鳴きにけり,島木赤彦,馬鈴薯の花,1910,アララギ
