本文,作者,歌集,年代,雑誌（結社）
,斎藤茂吉,あらたま,1913,アララギ
大正二年九月より,斎藤茂吉,あらたま,1913,アララギ
黑き蛼,斎藤茂吉,あらたま,1913,アララギ
ふり灑ぐあまつひかりに目の見えぬ黑き蛼を追ひつめにけり,斎藤茂吉,あらたま,1913,アララギ
秋づける丘の畑くまに音たえて晝のいとどはかくろひいそぐ,斎藤茂吉,あらたま,1913,アララギ
あかねさす晝のこほろぎおどろきてかくろひ行くを見むとわがせし,斎藤茂吉,あらたま,1913,アララギ
畑ゆけばしんしんと光降りしきり黑き蟋蟀の目のみえぬころ,斎藤茂吉,あらたま,1913,アララギ
まんじゆ沙華さけるを見つつ心さへつかれてをかの畑こえにけり,斎藤茂吉,あらたま,1913,アララギ
,斎藤茂吉,あらたま,1913,アララギ
折にふれ,斎藤茂吉,あらたま,1913,アララギ
をさな妻あやぶみまもる心さへ今ははかなくなりにけるかも,斎藤茂吉,あらたま,1913,アララギ
どんよりと步みきたりし後へより鐵のにほひながれ來にけり,斎藤茂吉,あらたま,1913,アララギ
わが妻に觸らむとせし生ものの彼のいのちの死せざらめやも,斎藤茂吉,あらたま,1913,アララギ
固腹をづぶりと刺して逃げのびし男捕はれて來るとふ朝や　岡田滿,斎藤茂吉,あらたま,1913,アララギ
いきどほろしきこの身もつひに默しつつ入日のなかに無花果を食む,斎藤茂吉,あらたま,1913,アララギ
ぬば玉の黑き河豚の子なびき藻に少女の如くひそみたりけり,斎藤茂吉,あらたま,1913,アララギ
よひあさく土よりのぼる土の香を嗅ぎつつ心いきどほり居り,斎藤茂吉,あらたま,1913,アララギ
郊外をか往きかく往き坂のぼり黃いろき茸ふみにじりたり,斎藤茂吉,あらたま,1913,アララギ
うつし身のわが荒魂もーいろに悲しみにつつ潮間をあゆむ,斎藤茂吉,あらたま,1913,アララギ
わがこころせつぱつまりて手のひらの黑き河豚の子つひに殺したり,斎藤茂吉,あらたま,1913,アララギ
河豚の子をにぎりつぶして潮もぐり悲しき息をこらす吾はや,斎藤茂吉,あらたま,1913,アララギ
,斎藤茂吉,あらたま,1913,アララギ
野中,斎藤茂吉,あらたま,1913,アララギ
たかだかと乾草ぐるま竝びたり乾くさの香を欲しけるかも,斎藤茂吉,あらたま,1913,アララギ
ほしくさの馬車なみ行きしかば馬はかくろふ乾くさのかけ,斎藤茂吉,あらたま,1913,アララギ
太陽のひかり散りたりわが命たじろがめやも野中に立ちて,斎藤茂吉,あらたま,1913,アララギ
くろぐろと晝のこほろぎ飛び跳ねてわれは淚を落すなりけり,斎藤茂吉,あらたま,1913,アララギ
あしびきの山より下る水たぎち二たびここに相見つるかも,斎藤茂吉,あらたま,1913,アララギ
ひしひしと力たへがたく洩きたちて遠き女をねたみけるかも,斎藤茂吉,あらたま,1913,アララギ
海岸にくやしき息を漏したり常ならぬかなや荒磯潮間,斎藤茂吉,あらたま,1913,アララギ
われつひに孤り心に生きざるか少女に離れてさびしきものを,斎藤茂吉,あらたま,1913,アララギ
,斎藤茂吉,あらたま,1913,アララギ
乾草,斎藤茂吉,あらたま,1913,アララギ
きなぐさきあまつひかりに濡れとほり原のくぼみをあれひとりゆく,斎藤茂吉,あらたま,1913,アララギ
ふりそそぐ秋のひかりに乾くさのこらへかねたるにほひのぼれり,斎藤茂吉,あらたま,1913,アララギ
ひたぶるにトマト畑を飛びこゆるわれの心のいきどほろしも,斎藤茂吉,あらたま,1913,アララギ
いちはやく湧くにやあらむこの身さへ懺悔の心わくにやあらむ,斎藤茂吉,あらたま,1913,アララギ
くろがねの黑きひかりをおもひつつ乾くさのへに目をつむり居り,斎藤茂吉,あらたま,1913,アララギ
,斎藤茂吉,あらたま,1913,アララギ
宿直の日,斎藤茂吉,あらたま,1913,アララギ
狂院のうらの畑の玉キヤベツ豚の子どもは越えがたきかな,斎藤茂吉,あらたま,1913,アララギ
かんかんと眞日照りつくる畑みちに豚の子のむれをしばしいぢめぬ,斎藤茂吉,あらたま,1913,アララギ
むらがりて豚の子走る畑みちにすでに衰ふる黃いろの日のひかり,斎藤茂吉,あらたま,1913,アララギ
むらぎものみだれし心澄みゆかむ豚の子を道にいぢめ居たれば,斎藤茂吉,あらたま,1913,アララギ
みちたらはざる心をもちて湯のたぎり見つめけるかな宿直をしつつ,斎藤茂吉,あらたま,1913,アララギ
,斎藤茂吉,あらたま,1913,アララギ
一本道,斎藤茂吉,あらたま,1913,アララギ
あかあかと一本の道とほりたりたまきはる我が命なりけり,斎藤茂吉,あらたま,1913,アララギ
かがやけるひとすぢの道遙けくてかうかうと風は吹きゆきにけり,斎藤茂吉,あらたま,1913,アララギ
野のなかにかかやきて一本の道は見ゆここに命をおとしかねつも,斎藤茂吉,あらたま,1913,アララギ
はるばるとーすぢのみち見はるかす我は女犯をおもはざりけり,斎藤茂吉,あらたま,1913,アララギ
我はこころ極まりて來し日に照りて一筋みちのとほるは何ぞも,斎藤茂吉,あらたま,1913,アララギ
こころむなしくここに來れりあはれあはれ土の窪にくまなき光,斎藤茂吉,あらたま,1913,アララギ
秋づける代々木の原の日のにほひ馬は遠くもなりにけるかも,斎藤茂吉,あらたま,1913,アララギ
かなしみて心和ぎ來むえにしあり通りすがひし農夫妻はや,斎藤茂吉,あらたま,1913,アララギ
,斎藤茂吉,あらたま,1913,アララギ
お茶の水,斎藤茂吉,あらたま,1913,アララギ
まかかよふひかりたむろに蜻蛉らがほしいままなる飛のさやけさ,斎藤茂吉,あらたま,1913,アララギ
あか蜻蛉むらがり飛ぶよ入つ日の光につるみみだれて來もよ,斎藤茂吉,あらたま,1913,アララギ
水のへの光たむろに小蜻蛉はひたぶるにして飛びやまずけり,斎藤茂吉,あらたま,1913,アララギ
